id,first_name,last_name,email,gender,loyalty_status,education,average_spend_2021,total_spend_2021,most_traveled_city,most_traveled_state
1,Coop,Volonte,Coop.Volonte@datascience.aot.com,Male,Gold,Bachelor Degree,$372.75,"$2,409.21",Huntington,WV
2,Stephanus,Ramsell,Stephanus.Ramsell@datascience.aot.com,Male,Silver,Master Degree,$291.01,"$2,114.26",Suffolk,VA
3,Iggy,Hynard,Iggy.Hynard@datascience.aot.com,Male,Gold,High School Diploma,$161.81,"$2,464.32",Lincoln,NE
4,Albie,Gilli,Albie.Gilli@datascience.aot.com,Male,None,Some College,$266.77,"$4,415.03",Northridge,CA
5,Yulma,Mayall,Yulma.Mayall@datascience.aot.com,Male,Platnium,Some College,$364.93,"$3,056.20",Lafayette,LA
6,Axe,Ilyinski,Axe.Ilyinski@datascience.aot.com,Genderfluid,None,Master Degree,$292.57,"$2,727.48",Charlottesville,VA
7,Kayley,Tumilty,Kayley.Tumilty@datascience.aot.com,Female,Gold,PhD,$360.31,"$1,220.68",Sacramento,CA
8,Gradeigh,Endecott,Gradeigh.Endecott@datascience.aot.com,Male,Silver,PhD,$196.53,"$4,127.89",New Hyde Park,NY
9,Eliot,Robottham,Eliot.Robottham@datascience.aot.com,Male,Platnium,Master Degree,$193.24,"$4,865.17",Denver,CO
10,Laverne,Leynagh,Laverne.Leynagh@datascience.aot.com,Female,Silver,Master Degree,$276.87,"$1,699.14",Omaha,NE
11,Ciro,Stukings,Ciro.Stukings@datascience.aot.com,Male,Silver,Bachelor Degree,$315.70,"$4,717.12",Garland,TX
12,Lynne,Reames,Lynne.Reames@datascience.aot.com,Female,Silver,Some College,$187.67,"$1,687.87",West Hartford,CT
13,Penn,Forshaw,Penn.Forshaw@datascience.aot.com,Male,None,Master Degree,$289.46,$914.80,Lansing,MI
14,Sophronia,Brigham,Sophronia.Brigham@datascience.aot.com,Female,Silver,Master Degree,$193.88,"$3,987.80",Young America,MN
15,Evita,Giacobbo,Evita.Giacobbo@datascience.aot.com,Female,Silver,PhD,$372.73,"$2,256.31",Hot Springs National Park,AR
16,Amandie,Tamplin,Amandie.Tamplin@datascience.aot.com,Female,Platnium,High School Diploma,$342.23,"$4,429.79",New York City,NY
17,Kerr,Toby,Kerr.Toby@datascience.aot.com,Male,Platnium,Some College,$162.03,"$1,036.54",,
18,Carlynn,Grishmanov,Carlynn.Grishmanov@datascience.aot.com,Female,None,Bachelor Degree,$331.33,"$2,020.78",Fort Smith,AR
19,Horten,Farden,Horten.Farden@datascience.aot.com,Male,None,High School Diploma,$354.59,"$4,707.51",Hartford,CT
20,Harriet,Menicomb,Harriet.Menicomb@datascience.aot.com,Genderqueer,None,Some College,$225.83,"$1,634.75",Richmond,CA
21,Estell,Dunsmore,Estell.Dunsmore@datascience.aot.com,Female,Gold,High School Diploma,$251.13,"$4,546.92",Memphis,TN
22,Brant,Maudling,Brant.Maudling@datascience.aot.com,Male,None,Some College,$223.39,$472.32,New Bedford,MA
23,Ansell,Venediktov,Ansell.Venediktov@datascience.aot.com,Male,Gold,Bachelor Degree,$216.56,"$3,361.05",Waterbury,CT
24,Maxwell,Rushmere,Maxwell.Rushmere@datascience.aot.com,Male,Silver,High School Diploma,$216.03,"$4,898.90",Los Angeles,CA
25,Perrine,Gelder,Perrine.Gelder@datascience.aot.com,Female,Silver,Master Degree,$228.22,"$2,659.56",Chicago,IL
26,Westleigh,Vevers,Westleigh.Vevers@datascience.aot.com,Male,None,PhD,$264.23,$828.69,,
27,Lester,Twinning,Lester.Twinning@datascience.aot.com,Male,Gold,Some College,$208.24,"$4,164.26",Madison,WI
28,Cristen,Jamary,Cristen.Jamary@datascience.aot.com,Female,Gold,PhD,$231.81,"$3,136.43",Daytona Beach,FL
